timestamp,original,mimetype,digest,status,outfile,bytes,error
"20100802150600","http://www.millsberry.com:80/campaigns/frudare2010/ajax.phtml?","text/xml","WV5SMDUBNMBUQKPJ45GZY6TFHF5IV4YA","downloaded",".\recovered\www.millsberry.com\campaigns\frudare2010\20100802150600__WV5SMDUBNMBUQKPJ45GZY6TFHF5IV4YA__ajax__q372029331.phtml",211,""
"20100802150600","http://www.millsberry.com:80/campaigns/frudare2010/ajax.phtml?","text/xml","WV5SMDUBNMBUQKPJ45GZY6TFHF5IV4YA","exists",".\recovered\www.millsberry.com\campaigns\frudare2010\20100802150600__WV5SMDUBNMBUQKPJ45GZY6TFHF5IV4YA__ajax__q372029331.phtml",211,""
"20070101160759","http://www.millsberry.com:80/common.js","application/x-javascript","BOXQC5QKYA3ZV5ZO5ZLBGZ6X52NBG6E6","downloaded",".\recovered\www.millsberry.com\20070101160759__BOXQC5QKYA3ZV5ZO5ZLBGZ6X52NBG6E6__common.js",7333,""
"20070301224330","http://www.millsberry.com/common.js?v=1","application/x-javascript","BOXQC5QKYA3ZV5ZO5ZLBGZ6X52NBG6E6","downloaded",".\recovered\www.millsberry.com\20070301224330__BOXQC5QKYA3ZV5ZO5ZLBGZ6X52NBG6E6__common__q299651151.js",7333,""
"20061206000602","http://www.millsberry.com/common.js?v=2","application/x-javascript","BTQVT2JRZ5MS343DWOSF4GLOKHMBCWD6","downloaded",".\recovered\www.millsberry.com\20061206000602__BTQVT2JRZ5MS343DWOSF4GLOKHMBCWD6__common__q1865735092.js",6604,""
"20100102003359","http://millsberry.com/common.js?v=3","application/x-javascript","AG4PJSLI2FSNGTY3S6YBD7T5RJJN5RM4","downloaded",".\recovered\millsberry.com\20100102003359__AG4PJSLI2FSNGTY3S6YBD7T5RJJN5RM4__common__q863148263.js",10500,""
"20040911093214","http://www.millsberry.com:80/commonJS.js","application/x-javascript","2EZ73M3ZJGZTRJUPO55ULH7HCWTAT6PG","downloaded",".\recovered\www.millsberry.com\20040911093214__2EZ73M3ZJGZTRJUPO55ULH7HCWTAT6PG__commonJS.js",767,""
"20100508145556","http://millsberry.com/css/global.css?v=3","text/css","FKDMIU6XQRZ2LDBBL6K75U3TYMKZPMQW","downloaded",".\recovered\millsberry.com\css\20100508145556__FKDMIU6XQRZ2LDBBL6K75U3TYMKZPMQW__global__q863148263.css",2807,""
"20060403153851","http://www.millsberry.com/css/ie.css","text/css","ZT5ZLN6I5ODGZPUJVW4VKEY4HLRQ4366","downloaded",".\recovered\www.millsberry.com\css\20060403153851__ZT5ZLN6I5ODGZPUJVW4VKEY4HLRQ4366__ie.css",1442,""
"20100508145617","http://millsberry.com/css/index.css?v=1","text/css","NM2PM5XFZVEL72INPYAMXE5TV2G3V6ZI","downloaded",".\recovered\millsberry.com\css\20100508145617__NM2PM5XFZVEL72INPYAMXE5TV2G3V6ZI__index__q299651151.css",2552,""
"20100612205002","http://millsberry.com/css/jquery/images/ui-bg_flat_0_434343_40x100.png","image/png","YKXWTM6UNFJJH5NGUN7RQTCQH75OHCFM","downloaded",".\recovered\millsberry.com\css\jquery\images\20100612205002__YKXWTM6UNFJJH5NGUN7RQTCQH75OHCFM__ui-bg_flat_0_434343_40x100.png",180,""
